Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
1981-02-03,0.1233,"123,326",0.1233,"123,326",0.1357,0,-0.0273,0.0124,6379.8627
1981-02-04,0.1278,"127,790",0.1278,"127,790",0.1324,0.1777706981,-0.0206,0.0046,5458.8321
1981-02-05,0.1278,"127,790",0.1278,"127,790",0.1301,0.3720775161,-0.0151,0.0023,5049.3889
1981-02-06,0.1283,"128,348",0.1283,"128,348",0.1279,0.4571194511,-0.0106,0.0004,4900.8413
1981-02-09,0.1228,"122,768",0.1217,"121,652",0.1265,0.653801089,-0.0050,0.0049,5283.7910
1981-02-10,0.1217,"121,652",0.1217,"121,652",0.1248,0.2941176471,-0.0045,0.0032,5672.4929
1981-02-11,0.1183,"118,304",0.1177,"117,746",0.1242,0.2941176471,0.0028,0.0065,7163.3215
1981-02-12,0.1172,"117,188",0.1166,"116,629",0.1240,0,-0.0056,0.0074,10155.8993
1981-02-13,0.1150,"114,955",0.1138,"113,839",0.1231,0,-0.0112,0.0092,11779.8407
1981-02-17,0.1166,"116,629",0.1166,"116,629",0.1211,0,-0.0140,0.0045,10007.5340
1981-02-18,0.1217,"121,652",0.1217,"121,652",0.1195,0.1922944379,-0.0117,0.0022,9285.8032
1981-02-19,0.1150,"114,955",0.1144,"114,397",0.1185,1,0.0000,0.0041,8783.7967
1981-02-20,0.1088,"108,817",0.1083,"108,259",0.1175,0.07141942916,-0.0073,0.0092,8875.4049
1981-02-23,0.1099,"109,933",0.1099,"109,933",0.1156,0,-0.0095,0.0057,7504.3981
1981-02-24,0.1071,"107,143",0.1060,"106,027",0.1145,0.1249906668,-0.0067,0.0084,7571.8339
1981-02-25,0.1127,"112,723",0.1127,"112,723",0.1130,0,-0.0078,0.0002,7293.2669
1981-02-26,0.1144,"114,397",0.1144,"114,397",0.1128,0.428544,-0.0039,0.0016,9192.4313
1981-02-27,0.1183,"118,304",0.1183,"118,304",0.1125,0.53568,-0.0073,0.0058,10002.0706
1981-03-02,0.1189,"118,862",0.1189,"118,862",0.1120,1,0.0039,0.0069,8920.6238
1981-03-03,0.1177,"117,746",0.1172,"117,188",0.1126,1,0.0106,0.0045,8329.2363
1981-03-04,0.1166,"116,629",0.1161,"116,071",0.1139,0.8695753798,0.0073,0.0022,9618.0678
1981-03-05,0.1161,"116,071",0.1155,"115,513",0.1148,0.7825477211,0.0100,0.0007,10838.6279
1981-03-06,0.1155,"115,513",0.1144,"114,397",0.1162,0.4544714123,0.0028,0.0018,14834.7945
1981-03-09,0.1060,"106,027",0.1055,"105,469",0.1164,0,0.0000,0.0109,13904.5476
1981-03-10,0.1010,"101,004",0.1004,"100,446",0.1151,0,-0.0128,0.0147,9837.3752
1981-03-11,0.0977,"97,656",0.0965,"96,540",0.1126,0,-0.0184,0.0160,7573.8810
1981-03-12,0.1004,"100,446",0.1004,"100,446",0.1094,0,-0.0206,0.0089,6030.7571
1981-03-13,0.0999,"99,888",0.0993,"99,330",0.1070,0.1999897599,-0.0156,0.0077,5430.0539
1981-03-16,0.1032,"103,237",0.1032,"103,237",0.1046,0.1470510726,-0.0162,0.0014,4827.2768
1981-03-17,0.1083,"108,259",0.1083,"108,259",0.1028,0.3750350003,-0.0112,0.0054,4696.9744
1981-03-18,0.1150,"114,955",0.1150,"114,955",0.1020,1,0.0028,0.0130,4394.0880
1981-03-19,0.1144,"114,397",0.1138,"113,839",0.1033,1,0.0145,0.0105,4314.8375
1981-03-20,0.1150,"114,955",0.1150,"114,955",0.1052,0.9393972305,0.0173,0.0097,4684.4266
1981-03-23,0.1194,"119,420",0.1194,"119,420",0.1079,1,0.0145,0.0116,5335.8240
